sample_event ID	Archive_ID	cruise_expedition	cruise_name	Sample_name	 station	 cast	 start_ISO_DateTime	 Year	 Month	 Day	 timeutc	 lon	 lat	 depth_max	 pres_max	 Date	 HOT_summary_file_name	 parameters	 num_bottles	 section	 nav_code	 depth_hgt	 EXPOCODE	 Ship	 comments	 CTDPRS	 CTDTMP	 CTDSAL	 CTDOXY	 CHLPIG	 NUMBER	 NITRATE	 QUALT1	 inferred_depth
SE_25	SAMN02798422	HOT	HOT194	HOT194_25m	2	16	 2007-08-06T01:38:00	2007	8	6	138	-158.083	22.7798	4759	1022	80607	 cruise.summaries/hot194.sum	1	17	 PRS2	 GPS	3746	 33KB194_1	 33KB194/1	 Dual T; C sensors	26	26.3995	35.0288	203.8	0.1033	72	 nd	222192	25.8351
SE_26	SAMN02798443	HOT	HOT194	HOT194_500m	2	13	 2007-08-05T02:59:00	2007	8	5	259	-158.074	22.8027	4750	1022	80507	 cruise.summaries/hot194.sum	1	19	 PRS2	 GPS	3737	 33KB194_1	 33KB194/1	 Dual T; C sensors	504	6.8198	34.0636	99.3	0.0469	48	33.17	222112	500.225
SE_27	SAMN02798423	HOT	HOT195	HOT195_25m	2	17	 2007-09-04T22:53:00	2007	9	4	2253	-157.936	22.6805	4752	1020	90407	 cruise.summaries/hot195.sum	1	24	 PRS2	 GPS	3741	 33KB195_1	 33KB195/1	 Dual T; C sensors	26	26.5977	35.3692	204.4	0.0696	132	 nd	222192	25.8352
SE_28	SAMN02798444Ê	HOT	HOT195	HOT195_500m	2	12	 2007-09-03T21:03:00	2007	9	3	2103	-158.02	22.668	4764	1022	90307	 cruise.summaries/hot195.sum	1	21	 PRS2	 GPS	3751	 33KB195_1	 33KB195/1	 Dual T; C sensors	504	7.3963	34.0526	130.9	0.0112	36	 nd	222192	500.229
SE_29	SAMN02798424Ê	HOT	HOT196	HOT196_25m	2	1	 2007-10-02T11:32:00	2007	10	2	1132	-157.919	22.7447	4720	202	100207	 cruise.summaries/hot196.sum	 nd	21	 PRS2	 GPS	4519	 33KI196_1	 33KI196/1	 Dual T; C sensors	26	26.1021	35.0779	206.3	0.1907	84	-0.353	222112	25.8351
SE_30	SAMN02798445	HOT	HOT196	HOT196_500m	2	12	 2007-10-03T20:57:00	2007	10	3	2057	-157.993	22.7553	4715	1024	100307	 cruise.summaries/hot196.sum	1	23	 PRS2	 GPS	3700	 33KI196_1	 33KI196/1	 Dual T; C sensors	504	7.4605	34.0821	113.8	0.067	84	27.294	222112	500.226
SE_31	SAMN02798425Ê	HOT	HOT197	HOT197_25m	2	1	 2007-12-01T10:10:00	2007	12	1	1010	-158.04	22.7445	4759	202	120107	 cruise.summaries/hot197.sum	 nd	24	 PRS2	 GPS	4558	 33KB197_1	 33KB197/1	 Dual T; C sensors	26	25.042	35.0139	207.7	0.1454	60	-3.697	222112	25.8351
SE_32	SAMN02798446Ê	HOT	HOT197	HOT197_500m	2	12	 2007-12-02T20:47:00	2007	12	2	2047	-157.923	22.794	4700	1024	120207	 cruise.summaries/hot197.sum	1	23	 PRS2	 GPS	3685	 33KB197_1	 33KB197/1	 Dual T; C sensors	504	6.8209	34.1081	87.5	0.0605	48	28.255	222112	500.225
SE_33	SAMN02798426Ê	HOT	HOT198	HOT198_25m	2	1	 2007-12-20T09:06:00	2007	12	20	906	-158	22.7507	4750	202	122007	 cruise.summaries/hot198.sum	 nd	19	 PRS2	 GPS	4549	 33KB198_1	 33KB198/1	 Dual T; C sensors	26	24.4819	35.0346	208.3	0.3086	48	-3.527	222112	25.8351
SE_34	SAMN02798447Ê	HOT	HOT198	HOT198_500m	2	13	 2007-12-21T20:54:00	2007	12	21	2054	-157.987	22.7025	4750	1022	122107	 cruise.summaries/hot198.sum	1	22	 PRS2	 GPS	3737	 33KB198_1	 33KB198/1	 Dual T; C sensors	504	7.604	34.1246	109	0.0586	72	21.371	222112	500.228
SE_35	SAMN02798427Ê	HOT	HOT199	HOT199_25m	2	1	 2008-01-29T10:52:00	2008	1	29	1052	-158.002	22.769	4758	200	12908	 cruise.summaries/hot199.sum	 nd	24	 PRS2	 GPS	4559	 33KB199_1	 33KB199/1	 Dual T; C sensors	26	23.1408	35.1731	212.3	0.3013	120	-0.678	222122	25.8351
SE_36	SAMN02798448Ê	HOT	HOT199	HOT199_500m	2	12	 2008-01-30T20:57:00	2008	1	30	2057	-157.958	22.6922	4748	1022	13008	 cruise.summaries/hot199.sum	1	21	 PRS2	 GPS	3735	 33KB199_1	 33KB199/1	 Dual T; C sensors	504	7.4258	34.091	109.2	-0.0129	108	28.878	222122	500.228
SE_37	SAMN02798428Ê	HOT	HOT200	HOT200_25m	2	1	 2008-02-23T10:29:00	2008	2	23	1029	-158.039	22.7672	4750	354	22308	 cruise.summaries/hot200.sum	 nd	24	 PRS2	 GPS	4399	 33KB200_1	 33KB200/1	 Dual T; C sensors	26	23.5188	35.1708	217.9	0.0789	48	1.861	222122	25.8351
SE_38	SAMN02798449Ê	HOT	HOT200	HOT200_500m	2	8	 2008-02-24T08:58:00	2008	2	24	858	-157.972	22.8117	4700	1022	22408	 cruise.summaries/hot200.sum	1	24	 PRS2	 GPS	3687	 33KB200_1	 33KB200/1	 Dual T; C sensors	504	8.159	34.0792	153.1	0.0211	36	25.666	222122	500.224
SE_39	SAMN02798429Ê	HOT	HOT201	HOT201_25m	2	1	 2008-05-27T10:02:00	2008	5	27	1002	-158.009	22.7505	4741	352	52708	 cruise.summaries/hot201.sum	 nd	24	 PRS2	 GPS	4392	 33KB201_1	 33KB201/1	 Dual T; C sensors	26	25.1586	35.1331	212.4	0.0611	132	0.322	222122	25.8351
SE_40	SAMN02798450Ê	HOT	HOT201	HOT201_500m	2	8	 2008-05-28T08:53:00	2008	5	28	853	-158.061	22.7312	4764	1022	52808	 cruise.summaries/hot201.sum	1	24	 PRS2	 GPS	3751	 33KB201_1	 33KB201/1	 Dual T; C sensors	504	7.3714	34.0613	124.2	-0.0283	36	29.369	222162	500.227
SE_41	SAMN02798430Ê	HOT	HOT202	HOT202_25m	2	1	 2008-06-25T10:11:00	2008	6	25	1011	-157.999	22.7695	4731	352	62508	 cruise.summaries/hot202.sum	 nd	24	 PRS2	 GPS	4382	 33KB202_1	 33KB202/1	 Dual T; C sensors	26	25.5041	35.0637	209.6	0.1303	72	 nd	222192	25.8351
SE_42	SAMN02798451Ê	HOT	HOT202	HOT202_500m	2	8	 2008-06-26T09:01:00	2008	6	26	901	-157.995	22.7878	4728	1022	62608	 cruise.summaries/hot202.sum	1	24	 PRS2	 GPS	3715	 33KB202_1	 33KB202/1	 Dual T; C sensors	504	7.0222	34.0693	110.6	0.0458	36	30.907	222122	500.225
SE_43	SAMN02798431Ê	HOT	HOT203	HOT203_25m	2	1	 2008-07-26T11:23:00	2008	7	26	1123	-158.008	22.7498	4750	200	72608	 cruise.summaries/hot203.sum	 nd	24	 PRS2	 GPS	4551	 33KB203_1	 33KB203/1	 Dual T; C sensors	26	25.9414	34.9629	208.1	0.1187	132	0.587	222122	25.8351
SE_44	SAMN02798452Ê	HOT	HOT203	HOT203_500m	2	9	 2008-07-27T09:01:00	2008	7	27	901	-158.037	22.8268	4723	1022	72708	 cruise.summaries/hot203.sum	1	24	 PRS2	 GPS	3710	 33KB203_1	 33KB203/1	 Dual T; C sensors	504	7.8723	34.0736	134.7	0.039	60	28.285	222122	500.224
SE_45	SAMN02798432	HOT	HOT204	HOT204_25m	2	1	 2008-08-16T09:55:00	2008	8	16	955	-158	22.75	4747	200	81608	 cruise.summaries/hot204.sum	 nd	22	 PRS2	 GPS	4548	 33KB204_1	 33KB204/1	 Dual T; C sensors	26	25.9384	34.9933	209.7	0.1768	96	1.641	222122	25.8351
SE_46	SAMN02798453Ê	HOT	HOT204	HOT204_500m	2	8	 2008-08-17T09:04:00	2008	8	17	904	-158.004	22.7762	4733	1022	81708	 cruise.summaries/hot204.sum	1	24	 PRS2	 GPS	3720	 33KB204_1	 33KB204/1	 Dual T; C sensors	504	7.4558	34.1065	105.4	0.0869	48	32.111	222122	500.225
SE_47	SAMN02798433Ê	HOT	HOT205	HOT205_25m	2	1	 2008-10-10T10:01:00	2008	10	10	1001	-157.987	22.7717	4736	202	101008	 cruise.summaries/hot205.sum	 nd	17	 PRS2	 GPS	4535	 33KB205_1	 33KB205/1	 Dual T; C sensors	26	26.2362	35.2926	204.8	0.2204	72	2.24	222122	25.8351
SE_48	SAMN02798454	HOT	HOT205	HOT205_500m	2	8	 2008-10-11T09:09:00	2008	10	11	909	-158.029	22.8022	4742	1022	101108	 cruise.summaries/hot205.sum	1	24	 PRS2	 GPS	3729	 33KB205_1	 33KB205/1	 Dual T; C sensors	504	7.0042	34.0974	92.2	0.0456	48	33.855	222122	500.225
SE_49	SAMN02798434	HOT	HOT206	HOT206_25m	2	1	 2008-11-30T11:21:00	2008	11	30	1121	-158.001	22.7595	4732	202	113008	 cruise.summaries/hot206.sum	 nd	15	 PRS2	 GPS	4531	 33KB206_1	 33KB206/1	 Dual T; C sensors	26	24.889	35.2346	206.7	0.3895	36	1.592	222122	25.8351
SE_50	SAMN02798455Ê	HOT	HOT206	HOT206_500m	2	15	 2008-12-02T09:00:00	2008	12	2	900	-157.983	22.6712	4746	1022	120208	 cruise.summaries/hot206.sum	1	24	 PRS2	 GPS	3733	 33KB206_1	 33KB206/1	 Dual T; C sensors	504	7.3345	34.0661	118.8	0.0867	36	30.714	222122	500.229
SE_51	SAMN02798435Ê	HOT	HOT208	HOT208_25m	2	1	 2009-01-20T11:02:00	2009	1	20	1102	-158	22.749	4742	200	12009	 cruise.summaries/hot208.sum	 nd	23	 PRS2	 GPS	4543	 33KB208_1	 33KB208/1	 Dual T; C sensors	26	23.4732	35.3196	209.7	0.1997	60	3.812	222122	25.8351
SE_52	SAMN02798456Ê	HOT	HOT208	HOT208_500m	2	6	 2009-01-21T05:52:00	2009	1	21	552	-158.052	22.7022	4770	1024	12109	 cruise.summaries/hot208.sum	1	24	 PRS2	 GPS	3755	 33KB208_1	 33KB208/1	 Dual T; C sensors	504	6.8132	34.1023	84.2	0.0667	48	33.604	222122	500.228
SE_53	SAMN02798436Ê	HOT	HOT209	HOT209_25m	2	1	 2009-02-17T11:18:00	2009	2	17	1118	-158	22.7508	4740	202	21709	 cruise.summaries/hot209.sum	 nd	23	 PRS2	 GPS	4539	 33KB209_1	 33KB209/1	 Dual T; C sensors	26	22.9097	35.331	213.5	0.1403	72	3.205	222122	25.8351
SE_54	SAMN02798457Ê	HOT	HOT209	HOT209_500m	2	8	 2009-02-18T09:03:00	2009	2	18	903	-158.071	22.7255	4765	1022	21809	 cruise.summaries/hot209.sum	1	24	 PRS2	 GPS	3752	 33KB209_1	 33KB209/1	 Dual T; C sensors	504	7.6995	34.065	138	0.0675	36	27.85	222122	500.227
SE_55	SAMN02798437Ê	HOT	HOT210	HOT210_25m	2	1	 2009-04-28T10:15:00	2009	4	28	1015	-157.999	22.7498	4728	200	42809	 cruise.summaries/hot210.sum	 nd	23	 PRS2	 GPS	4529	 316N210_1	 316N210/1	 Dual T; C sensors	26	22.7554	35.2697	216.9	0.1043	108	1.623	222132	25.8351
SE_56	SAMN02798458	HOT	HOT210	HOT210_500m	2	8	 2009-04-29T09:00:00	2009	4	29	900	-158	22.7498	4727	1024	42909	 cruise.summaries/hot210.sum	1	24	 PRS2	 GPS	3712	 316N210_1	 316N210/1	 Dual T; C sensors	504	7.1868	34.0633	118.8	0.0403	36	30.58	222122	500.226
SE_57	SAMN02798438Ê	HOT	HOT211	HOT211_25m	2	2	 2009-05-27T15:29:00	2009	5	27	1529	-158	22.749	1356	100	52709	 cruise.summaries/hot211.sum	 nd	15	 PRS2	 GPS	1257	 33KI211_1	 33KI211/1	 Dual T; C sensors	26	22.7392	35.2901	218	0.1095	60	 nd	222192	25.8351
SE_58	SAMN02798459	HOT	HOT211	HOT211_500m	2	8	 2009-05-28T08:59:00	2009	5	28	859	-157.97	22.7562	4700	1022	52809	 cruise.summaries/hot211.sum	1	24	 PRS2	 GPS	3687	 33KI211_1	 33KI211/1	 Dual T; C sensors	504	6.9607	34.0435	115.1	0.0599	48	32.028	222122	500.226
SE_59	SAMN02798439Ê	HOT	HOT212	HOT212_25m	2	1	 2009-07-03T11:05:00	2009	7	3	1105	-158.015	22.7575	4748	202	70309	 cruise.summaries/hot212.sum	 nd	24	 PRS2	 GPS	4547	 33KB212_1	 33KB212/1	 Dual T; C sensors	26	25.4732	35.0783	209.7	0.0956	192	3.142	222132	25.8351
SE_60	SAMN02798460Ê	HOT	HOT212	HOT212_500m	2	8	 2009-07-04T09:06:00	2009	7	4	906	-158.017	22.796	4732	1024	70409	 cruise.summaries/hot212.sum	1	24	 PRS2	 GPS	3717	 33KB212_1	 33KB212/1	 Dual T; C sensors	504	7.4878	34.1014	112.1	0.0365	24	30.261	222122	500.225
SE_61	SAMN02798440Ê	HOT	HOT213	HOT213_25m	2	1	 2009-07-24T11:36:00	2009	7	24	1136	-158.008	22.7488	4751	200	72409	 cruise.summaries/hot213.sum	2	24	 PRS2	 GPS	4552	 33KB213_1	 33KB213/1	 Dual T; C sensors	26	25.6315	35.1706	208.2	0.0845	48	4.251	222232	25.8351
SE_62	SAMN02798461Ê	HOT	HOT213	HOT213_500m	2	11	 2009-07-26T05:58:00	2009	7	26	558	-158.036	22.7148	4756	1022	72609	 cruise.summaries/hot213.sum	1	24	 PRS2	 GPS	3743	 33KB213_1	 33KB213/1	 Dual T; C sensors	504	7.9671	34.1014	117.4	0.0134	72	29.124	222122	500.227
SE_63	SAMN02798441	HOT	HOT214	HOT214_25m	2	1	 2009-08-18T10:25:00	2009	8	18	1025	-157.993	22.7445	4741	200	81809	 cruise.summaries/hot214.sum	 nd	19	 PRS2	 GPS	4542	 33KB214_1	 33KB214/1	 Dual T; C sensors	26	25.9646	35.2161	207.2	0.1377	156	1.268	222122	25.8351
SE_64	SAMN02798462	HOT	HOT214	HOT214_500m	2	8	 2009-08-19T09:06:00	2009	8	19	906	-157.999	22.7717	4729	1022	81909	 cruise.summaries/hot214.sum	1	24	 PRS2	 GPS	3716	 33KB214_1	 33KB214/1	 Dual T; C sensors	504	7.6819	34.1119	107.7	0.0196	72	30.022	222122	500.226
SE_65	SAMN02798442	HOT	HOT215	HOT215_25m	2	1	 2009-09-24T12:22:00	2009	9	24	1222	-158.01	22.7513	4725	200	92409	 cruise.summaries/hot215.sum	 nd	24	 PRS2	 GPS	4526	 33KI215_1	 33KI215/1	 Dual T; C sensors	26	26.4595	35.4759	204.5	0.0968	60	1.261	222122	25.8351
SE_66	SAMN02798463	HOT	HOT215	HOT215_500m	2	9	 2009-09-25T09:02:00	2009	9	25	902	-158.001	22.7507	4723	1028	92509	 cruise.summaries/hot215.sum	1	24	 PRS2	 GPS	3704	 33KI215_1	 33KI215/1	 Dual T; C sensors	504	6.7165	34.0529	106.2	0.0517	36	32.297	222122	500.226