SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH_min	pH_first_quartile	pH_median	pH_third_quartile	pH_max	Carbon dioxide_min	Carbon dioxide_first_quartile	Carbon dioxide_median	Carbon dioxide_third_quartile	Carbon dioxide_max	"Carbon dioxide, partial pressure_min"	"Carbon dioxide, partial pressure_first_quartile"	"Carbon dioxide, partial pressure_median"	"Carbon dioxide, partial pressure_third_quartile"	"Carbon dioxide, partial pressure_max"	Fugacity of carbon dioxide in seawater_min	Fugacity of carbon dioxide in seawater_first_quartile	Fugacity of carbon dioxide in seawater_median	Fugacity of carbon dioxide in seawater_third_quartile	Fugacity of carbon dioxide in seawater_max	Bicarbonate ion_min	Bicarbonate ion_first_quartile	Bicarbonate ion_median	Bicarbonate ion_third_quartile	Bicarbonate ion_max	Carbonate ion_min	Carbonate ion_first_quartile	Carbonate ion_median	Carbonate ion_third_quartile	Carbonate ion_max	"Carbon, total_min"	"Carbon, total_first_quartile"	"Carbon, total_median"	"Carbon, total_third_quartile"	"Carbon, total_max"	"Alkalinity, total_min"	"Alkalinity, total_first_quartile"	"Alkalinity, total_median"	"Alkalinity, total_third_quartile"	"Alkalinity, total_max"	Calcite saturation state_min	Calcite saturation state_first_quartile	Calcite saturation state_median	Calcite saturation state_third_quartile	Calcite saturation state_max	Aragonite saturation state_min	Aragonite saturation state_first_quartile	Aragonite saturation state_median	Aragonite saturation state_third_quartile	Aragonite saturation state_max
TARA_Y100001951	SAMEA2622676	ERS492683	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	598	602	0.1	0.22	TARA_122_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MES_(600m)_SEQ-(dry)_W0.1-0.22_Y100001951	tara_20110726t1739z_122_event_cast	3.4432	P01DT01H53M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100001978	SAMEA2622658	ERS492648	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_122_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100001978	tara_20110726t1739z_122_event_cast	2.0075	P00DT00H24M	1	7.470711	7.470711	7.470711	7.470711	7.470711	48.966505	48.966505	48.966505	48.966505	48.966505	1801.446465	1801.446465	1801.446465	1801.446465	1801.446465	1795.880934	1795.880934	1795.880934	1795.880934	1795.880934	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0041	0.0041	0.0041	0.0041	0.0041	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012
TARA_Y100001980	SAMEA2622657	ERS492647	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_122_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100001980	tara_20110726t1739z_122_event_cast	2.0075	P00DT00H24M	1	7.470711	7.470711	7.470711	7.470711	7.470711	48.966505	48.966505	48.966505	48.966505	48.966505	1801.446465	1801.446465	1801.446465	1801.446465	1801.446465	1795.880934	1795.880934	1795.880934	1795.880934	1795.880934	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0041	0.0041	0.0041	0.0041	0.0041	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012
TARA_Y100001972	SAMEA2622656	ERS492646	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_122_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100001972	tara_20110726t1739z_122_event_cast	2.0075	P00DT00H24M	1	7.470711	7.470711	7.470711	7.470711	7.470711	48.966505	48.966505	48.966505	48.966505	48.966505	1801.446465	1801.446465	1801.446465	1801.446465	1801.446465	1795.880934	1795.880934	1795.880934	1795.880934	1795.880934	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0041	0.0041	0.0041	0.0041	0.0041	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012
TARA_Y100001001	SAMEA2621295	ERS490722	TARA_078	TARA_20101105T1235Z_078_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.45	0.8	TARA_078_MES_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101105T1235Z_078_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.45-0.8_Y100001001	tara_20101104t1024z_078_event_cast	1.0054	P01DT02H08M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_Y100000994	SAMEA2621278	ERS490697	TARA_078	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.45	0.8	TARA_078_DCM_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(dry)_W0.45-0.8_Y100000994	tara_20101104t1024z_078_event_cast	2.1901	P00DT07H51M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0343	0.0343	0.0343	0.0343	0.0343	0.0064	0.0064	0.0064	0.0064	0.0064	0.002	0.002	0.002	0.002	0.002	0.0028	0.0028	0.0028	0.0028	0.0028	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04
TARA_Y100000996	SAMEA2621277	ERS490696	TARA_078	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	120	118	122	0.22	0.45	TARA_078_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101104T1816Z_078_Combined-EVENTS_CAST_DCM_(120m)_SEQ-(dry)_W0.22-0.45_Y100000996	tara_20101104t1024z_078_event_cast	2.1901	P00DT07H51M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0343	0.0343	0.0343	0.0343	0.0343	0.0064	0.0064	0.0064	0.0064	0.0064	0.002	0.002	0.002	0.002	0.002	0.0028	0.0028	0.0028	0.0028	0.0028	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04
TARA_Y100000991	SAMEA2621260	ERS490665	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_078_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000991	tara_20101104t1024z_078_event_cast	0.16125	P00DT00H00M	1	8.101368	8.101368	8.101368	8.101368	8.101368	11.348365	11.348365	11.348365	11.348365	11.348365	352.602797	352.602797	352.602797	352.602797	352.602797	351.420547	351.420547	351.420547	351.420547	351.420547	0	0	0	0	0	0.0027	0.0027	0.0027	0.0027	0.0027	0.0053	0.0053	0.0054	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04
TARA_Y100000992	SAMEA2621259	ERS490664	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_078_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101104T1015Z_078_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000992	tara_20101104t1024z_078_event_cast	0.16125	P00DT00H00M	1	8.101368	8.101368	8.101368	8.101368	8.101368	11.348365	11.348365	11.348365	11.348365	11.348365	352.602797	352.602797	352.602797	352.602797	352.602797	351.420547	351.420547	351.420547	351.420547	351.420547	0	0	0	0	0	0.0027	0.0027	0.0027	0.0027	0.0027	0.0053	0.0053	0.0054	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04
TARA_Y100000815	SAMEA2621242	ERS490643	TARA_076	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	798	802	0.45	0.8	TARA_076_MES_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101017T0905Z_076_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.45-0.8_Y100000815	tara_20101016t1009z_076_event_cast	1.9965	P00DT22H57M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_Y100000814	SAMEA2621222	ERS490603	TARA_076	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.45	0.8	TARA_076_DCM_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(dry)_W0.45-0.8_Y100000814	tara_20101016t1009z_076_event_cast	18.7506	P00DT06H50M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0151	0.0151	0.01715	0.0192	0.0192	0.0023	0.0023	0.00245	0.0026	0.0026	5.00E-04	5.00E-04	6.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.00085	0.001	0.001	0	0	0	0	0
TARA_Y100000817	SAMEA2621221	ERS490602	TARA_076	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	150	148	152	0.22	0.45	TARA_076_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101016T1700Z_076_Combined-EVENTS_CAST_DCM_(150m)_SEQ-(dry)_W0.22-0.45_Y100000817	tara_20101016t1009z_076_event_cast	18.7506	P00DT06H50M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0151	0.0151	0.01715	0.0192	0.0192	0.0023	0.0023	0.00245	0.0026	0.0026	5.00E-04	5.00E-04	6.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.00085	0.001	0.001	0	0	0	0	0
TARA_Y100000813	SAMEA2621204	ERS490548	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_076_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000813	tara_20101016t1009z_076_event_cast	1.7268	P00DT00H12M	1	8.084707	8.084707	8.084707	8.084707	8.084707	10.872174	10.872174	10.872174	10.872174	10.872174	372.545678	372.545678	372.545678	372.545678	372.545678	371.349312	371.349312	371.349312	371.349312	371.349312	0	0	0	0	0	0.0016	0.0016	0.0016	0.0016	0.0016	0.0019	0.0019	0.0019	0.0019	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_Y100000816	SAMEA2621203	ERS490547	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_076_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20101016T0955Z_076_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000816	tara_20101016t1009z_076_event_cast	1.7268	P00DT00H12M	1	8.084707	8.084707	8.084707	8.084707	8.084707	10.872174	10.872174	10.872174	10.872174	10.872174	372.545678	372.545678	372.545678	372.545678	372.545678	371.349312	371.349312	371.349312	371.349312	371.349312	0	0	0	0	0	0.0016	0.0016	0.0016	0.0016	0.0016	0.0019	0.0019	0.0019	0.0019	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_Y100000780	SAMEA2621101	ERS490382	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	785	812	0.45	0.8	TARA_070_MES_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.45-0.8_Y100000780	tara_20100921t0707z_070_event_cast	3.9692	P00DT04H51M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000782	SAMEA2621099	ERS490380	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	785	812	0.22	0.45	TARA_070_MES_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100922T0637Z_070_Combined-EVENTS_CAST_MES_(800m)_SEQ-(dry)_W0.22-0.45_Y100000782	tara_20100921t0707z_070_event_cast	3.9692	P00DT04H51M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_Y100000766	SAMEA2621076	ERS490337	TARA_070	TARA_20100921T0655Z_070_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_070_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100921T0655Z_070_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000766	tara_20100921t0707z_070_event_cast	3.2513	P00DT00H10M	1	8.057761	8.057761	8.057761	8.057761	8.057761	12.878576	12.878576	12.878576	12.878576	12.878576	399.038779	399.038779	399.038779	399.038779	399.038779	397.699004	397.699004	397.699004	397.699004	397.699004	0	0	0	0	0	0.0384	0.0384	0.04	0.0416	0.0416	0.0103	0.0103	0.0103	0.0103	0.0103	0.0031	0.0031	0.0033	0.0035	0.0035	0	0	0	0	0	0.001	0.001	0.00105	0.0011	0.0011
TARA_Y100000768	SAMEA2621075	ERS490336	TARA_070	TARA_20100921T0655Z_070_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_070_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100921T0655Z_070_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000768	tara_20100921t0707z_070_event_cast	3.2513	P00DT00H10M	1	8.057761	8.057761	8.057761	8.057761	8.057761	12.878576	12.878576	12.878576	12.878576	12.878576	399.038779	399.038779	399.038779	399.038779	399.038779	397.699004	397.699004	397.699004	397.699004	397.699004	0	0	0	0	0	0.0384	0.0384	0.04	0.0416	0.0416	0.0103	0.0103	0.0103	0.0103	0.0103	0.0031	0.0031	0.0033	0.0035	0.0035	0	0	0	0	0	0.001	0.001	0.00105	0.0011	0.0011
TARA_Y100000746	SAMEA2621045	ERS490304	TARA_068	TARA_20100914T1330Z_068_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.45	0.8	TARA_068_DCM_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100914T1330Z_068_EVENT_PUMP_DCM_(50m)_SEQ-(dry)_W0.45-0.8_Y100000746	"tara_20100913t1857z_068_event_cast,tara_20100913t1708z_068_event_cast"	3.42	P00DT18H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0692	0.0692	0.0692	0.0692	0.0692	0.0183	0.0183	0.0183	0.0183	0.0183	0.0038	0.0038	0.0038	0.0038	0.0038	0.0048	0.0048	0.0048	0.0048	0.0048	0.0024	0.0024	0.0024	0.0024	0.0024
TARA_Y100000748	SAMEA2621044	ERS490303	TARA_068	TARA_20100914T1330Z_068_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.22	0.45	TARA_068_DCM_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100914T1330Z_068_EVENT_PUMP_DCM_(50m)_SEQ-(dry)_W0.22-0.45_Y100000748	"tara_20100913t1857z_068_event_cast,tara_20100913t1708z_068_event_cast"	3.42	P00DT18H33M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0692	0.0692	0.0692	0.0692	0.0692	0.0183	0.0183	0.0183	0.0183	0.0183	0.0038	0.0038	0.0038	0.0038	0.0038	0.0048	0.0048	0.0048	0.0048	0.0048	0.0024	0.0024	0.0024	0.0024	0.0024
TARA_Y100000739	SAMEA2621021	ERS490273	TARA_068	TARA_20100914T0655Z_068_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_068_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100914T0655Z_068_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000739	"tara_20100913t1857z_068_event_cast,tara_20100913t1708z_068_event_cast"	2.9397	P00DT11H58M	1	8.087022	8.087022	8.087022	8.087022	8.087022	12.727681	12.727681	12.727681	12.727681	12.727681	363.350186	363.350186	363.350186	363.350186	363.350186	362.087593	362.087593	362.087593	362.087593	362.087593	0	0	0	0	0	0.0265	0.0265	0.0462	0.0659	0.0659	0.0109	0.0109	0.01515	0.0194	0.0194	0.0017	0.0017	0.00255	0.0034	0.0034	0.0021	0.0021	0.0034	0.0047	0.0047	0	0	0.00155	0.0031	0.0031
TARA_Y100000741	SAMEA2621020	ERS490272	TARA_068	TARA_20100914T0655Z_068_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_068_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100914T0655Z_068_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000741	"tara_20100913t1857z_068_event_cast,tara_20100913t1708z_068_event_cast"	2.9397	P00DT11H58M	1	8.087022	8.087022	8.087022	8.087022	8.087022	12.727681	12.727681	12.727681	12.727681	12.727681	363.350186	363.350186	363.350186	363.350186	363.350186	362.087593	362.087593	362.087593	362.087593	362.087593	0	0	0	0	0	0.0265	0.0265	0.0462	0.0659	0.0659	0.0109	0.0109	0.01515	0.0194	0.0194	0.0017	0.0017	0.00255	0.0034	0.0034	0.0021	0.0021	0.0034	0.0047	0.0047	0	0	0.00155	0.0031	0.0031
TARA_Y100000758	SAMEA2621003	ERS490238	TARA_068	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	700	696	705	0.45	0.8	TARA_068_MES_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MES_(700m)_SEQ-(dry)_W0.45-0.8_Y100000758	"tara_20100913t1708z_068_event_cast,tara_20100913t1857z_068_event_cast"	3.7418	P00DT04H04M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0.0021	0.0021	0.0021	0.0021	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_Y100000385	SAMEA2620980	ERS490193	TARA_067	TARA_20100907T0619Z_067_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_067_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000385	tara_20100907t0635z_067_event_cast	0.97425	P00DT00H16M	1	8.025701	8.025701	8.025701	8.025701	8.025701	17.005393	17.005393	17.005393	17.005393	17.005393	425.604647	425.604647	425.604647	425.604647	425.604647	424.045046	424.045046	424.045046	424.045046	424.045046	0.2151	0.2151	0.2919	0.3687	0.3687	0.0518	0.0518	0.07385	0.0959	0.0959	1.5115	1.5115	2.1997	2.8879	2.8879	0.0331	0.0331	0.0483	0.0635	0.0635	0.1117	0.1117	0.1434	0.1751	0.1751	0.0146	0.0146	0.0288	0.043	0.043
