parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type		COMMENT
SampleID_Tara	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_barcode#
SampleID_NCBI	Biosample identifier assigned by the National Center for Biotechnology Information	http://purl.obolibrary.org/obo/PMO_00000122	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			BioSamples accession number (SAMEA#)
SampleID_SRA	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			ENA sample accession number (ERS#)
Station label	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_station#
Event label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_event-datetime_station#_event-type
Environmental feature	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.875582			"[abbreviation], full name (ENVO:ID) from which this sample was collected"
"Depth, nominal"	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	TRUE	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.pangaea.de/10.1594/PANGAEA.875582			from which this sample was collected
"Size fraction, lower threshold"	aquatic sample minimum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000022	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://doi.pangaea.de/10.1594/PANGAEA.875582			used on board to prepare samples
"Size fraction, upper threshold"	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://doi.pangaea.de/10.1594/PANGAEA.875582			used on board to prepare samples
Sample material	material sample role	http://purl.obolibrary.org/obo/OBI_0000740	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_station#_environmental-feature_size-fraction
Sample method	comment on investigation	http://purl.obolibrary.org/obo/OBI_0001898	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			"short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)"
Sample code/label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582			TARA_event-datetime_station#_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode
File name			FALSE						https://doi.org/10.1594/PANGAEA.875567			from which in situ sensor data were obtained to describe the environmental feature
Distance			FALSE	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.org/10.1594/PANGAEA.875567			interval between the location at which the sample was collected and that of the closest environmental context information
Duration			FALSE						https://doi.org/10.1594/PANGAEA.875567			interval between the date/time at which the sample was collected and that of the closest environmental context information
Number of observations	number of observations averaged to produce device measurment datum	http://purl.obolibrary.org/obo/PMO_00000016	FALSE						https://doi.org/10.1594/PANGAEA.875567			"that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days"
pH_min	acidity of water		FALSE						https://doi.org/10.1594/PANGAEA.875567			"minimum value in the selected environmental feature around the sampling date and location, total scale"
pH_first_quartile	acidity of water		FALSE						https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location, total scale"
pH_median	acidity of water	http://purl.obolibrary.org/obo/ENVO_3100030	TRUE						https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location, total scale"
pH_third_quartile	acidity of water		FALSE						https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location, total scale"
pH_max	acidity of water		FALSE						https://doi.org/10.1594/PANGAEA.875567			"maximum value in the selected environmental feature around the sampling date and location, total scale"
Carbon dioxide_min			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Carbon dioxide_first_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Carbon dioxide_median			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Carbon dioxide_third_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Carbon dioxide_max			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
"Carbon dioxide, partial pressure_min"			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
"Carbon dioxide, partial pressure_first_quartile"			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Carbon dioxide, partial pressure_median"			TRUE	_atm					https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Carbon dioxide, partial pressure_third_quartile"			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Carbon dioxide, partial pressure_max"			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Fugacity of carbon dioxide in seawater_min			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Fugacity of carbon dioxide in seawater_first_quartile			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_median			TRUE	_atm					https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_third_quartile			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Fugacity of carbon dioxide in seawater_max			FALSE	_atm					https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Bicarbonate ion_min			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Bicarbonate ion_first_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_median			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_third_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Bicarbonate ion_max			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Carbonate ion_min			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Carbonate ion_first_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Carbonate ion_median			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Carbonate ion_third_quartile			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Carbonate ion_max			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
"Carbon, total_min"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
"Carbon, total_first_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Carbon, total_median"			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Carbon, total_third_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Carbon, total_max"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
"Alkalinity, total_min"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
"Alkalinity, total_first_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_median"			TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_third_quartile"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
"Alkalinity, total_max"			FALSE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Calcite saturation state_min			FALSE						https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Calcite saturation state_first_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Calcite saturation state_median			TRUE						https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Calcite saturation state_third_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Calcite saturation state_max			FALSE						https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location
Aragonite saturation state_min			FALSE						https://doi.org/10.1594/PANGAEA.875567			minimum value in the selected environmental feature around the sampling date and location
Aragonite saturation state_first_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_median			TRUE						https://doi.org/10.1594/PANGAEA.875567			"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_third_quartile			FALSE						https://doi.org/10.1594/PANGAEA.875567			"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Aragonite saturation state_max			FALSE						https://doi.org/10.1594/PANGAEA.875567			maximum value in the selected environmental feature around the sampling date and location