SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_R110001583	SAMEA4398432	ERS1309881	TARA_210	TARA_20131027T1630Z_210_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	391	382	400	0.22	TARA_210_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131027T1630Z_210_Combined-EVENTS_CAST_MES_(391m)_SEQ-(FeCl3)_W<0.22_R110001583	3.4666	P00DT02H40M	"tara_20131027t1352z_210_event_cast,tara_20131027t1009z_210_event_cast"	1	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.0011	0.0011	0.0011	0.0011	0.0011	0.0024	0.0024	0.0024	0.0024	0.0024	0.0011	0.0011	0.0011	0.0011	0.0011	0.0023	0.0023	0.0023	0.0023	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063	0.0063	0.0063	0.0063	0.0063	0.0063	0.0063	0.0063	0.0063	0.0063	0.001	0.001	0.001	0.001	0.001	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04
TARA_R110001592	SAMEA4398387	ERS1309836	TARA_210	TARA_20131027T1016Z_210_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_210_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131027T1016Z_210_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110001592	0.16975	P00DT00H09M	"tara_20131027t1009z_210_event_cast,tara_20131027t1352z_210_event_cast"	3	0.06475	0.06475	0.065875	0.067	0.067	0.08955	0.08955	0.0904	0.09125	0.09125	0.0036	0.0036	0.00425	0.0049	0.0049	0.0535	0.0535	0.054125	0.05475	0.05475	0.00605	0.00605	0.0063	0.00655	0.00655	0.04505	0.04505	0.04545	0.04585	0.04585	0.1268	0.1268	0.1275	0.1282	0.1282	0.0076	0.0076	0.00775	0.0079	0.0079	0.02195	0.02195	0.022125	0.0223	0.0223	0.0067	0.0067	0.006975	0.00725	0.00725	0.13265	0.13265	0.13335	0.13405	0.13405	0.0338	0.0338	0.0346	0.0354	0.0354	0.02545	0.02545	0.027975	0.0305	0.0305	0.0033	0.0033	0.004225	0.00515	0.00515	0.00745	0.00745	0.0075	0.00755	0.00755	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0.0588	0.0588	0.0595	0.0602	0.0602	0.0588	0.0588	0.0595	0.0602	0.0602	0	0	0	0	0	0.66065	0.66065	0.67365	0.68665	0.68665	0.6642	0.6642	0.67785	0.6915	0.6915	0.0038	0.0038	0.003875	0.00395	0.00395	0.0217	0.0217	0.022125	0.02255	0.02255
TARA_R110001599	SAMEA4398360	ERS1309809	TARA_209	TARA_20131023T1736Z_209_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	351	342	360	0.22	TARA_209_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131023T1736Z_209_Combined-EVENTS_CAST_MES_(351m)_SEQ-(FeCl3)_W<0.22_R110001599	0	P00DT00H01M	tara_20131023t1736z_209_event_cast	1	0.0021	0.0021	0.0021	0.0021	0.0021	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.009	0.009	0.009	0.009	0.009	0.0019	0.0019	0.0019	0.0019	0.0019	0.0102	0.0102	0.0102	0.0102	0.0102	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0.002	0.002	0.002	0.002	0.002	0.0011	0.0011	0.0011	0.0011	0.0011	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0	0	0	0	0	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0244	0.0035	0.0035	0.0035	0.0035	0.0035	0.0011	0.0011	0.0011	0.0011	0.0011
TARA_R110001606	SAMEA4398315	ERS1309764	TARA_209	TARA_20131023T1025Z_209_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_209_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131023T1025Z_209_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110001606	1.5723	P00DT07H09M	tara_20131023t1736z_209_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110001632	SAMEA4398266	ERS1309715	TARA_208	TARA_20131020T1034Z_208_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_208_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131020T1034Z_208_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110001632	0.18038	P00DT00H07M	tara_20131020t1043z_208_event_cast	2	0.032	0.032	0.03375	0.0355	0.0355	0.048	0.048	0.04855	0.0491	0.0491	0	0	0	0	0	0.0265	0.0265	0.02805	0.0296	0.0296	0.0072	0.0072	0.01	0.0128	0.0128	0.0208	0.0208	0.0221	0.0234	0.0234	0.0825	0.0825	0.08585	0.0892	0.0892	0.0064	0.0064	0.0072	0.008	0.008	0.018	0.018	0.01855	0.0191	0.0191	0.0049	0.0049	0.00515	0.0054	0.0054	0.0565	0.0565	0.05775	0.059	0.059	0.0195	0.0195	0.0198	0.0201	0.0201	0.0135	0.0135	0.01385	0.0142	0.0142	0.002	0.002	0.00205	0.0021	0.0021	0.0015	0.0015	0.0016	0.0017	0.0017	0	0	0.00055	0.0011	0.0011	0	0	0	0	0	0	0	0	0	0	0.0447	0.0447	0.0484	0.0521	0.0521	0.0447	0.0447	0.0484	0.0521	0.0521	0	0	0	0	0	0.3902	0.3902	0.397	0.4038	0.4038	0.3902	0.3902	0.397	0.4038	0.4038	0.0051	0.0051	0.0053	0.0055	0.0055	0.0129	0.0129	0.013	0.0131	0.0131
TARA_R110002167	SAMEA4398238	ERS1309687	TARA_206	TARA_20131012T1802Z_206_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	411	407	416	0.22	TARA_206_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131012T1802Z_206_Combined-EVENTS_CAST_MES_(411m)_SEQ-(FeCl3)_W<0.22_R110002167	3.8679	P00DT06H00M	tara_20131012t1202z_206_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002153	SAMEA4398193	ERS1309642	TARA_206	TARA_20131012T1109Z_206_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_206_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131012T1109Z_206_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002153	0.51439	P00DT00H52M	tara_20131012t1202z_206_event_cast	2	0.0609	0.0609	0.06425	0.0676	0.0676	0.1115	0.1115	0.11315	0.1148	0.1148	0	0	0	0	0	0.0807	0.0807	0.0834	0.0861	0.0861	0.008	0.008	0.0084	0.0088	0.0088	0.0586	0.0586	0.0607	0.0628	0.0628	0.1743	0.1743	0.1842	0.1941	0.1941	0.0207	0.0207	0.02145	0.0222	0.0222	0.0422	0.0422	0.0461	0.05	0.05	0.0145	0.0145	0.01595	0.0174	0.0174	0.1272	0.1272	0.12965	0.1321	0.1321	0.0541	0.0541	0.0567	0.0593	0.0593	0.0216	0.0216	0.02205	0.0225	0.0225	0.0099	0.0099	0.01085	0.0118	0.0118	0.0041	0.0041	0.00415	0.0042	0.0042	0.0028	0.0028	0.0031	0.0034	0.0034	0	0	0	0	0	0	0	0	0	0	0.1107	0.1107	0.12115	0.1316	0.1316	0.1107	0.1107	0.12115	0.1316	0.1316	0	0	0	0	0	0.9007	0.9007	0.9353	0.9699	0.9699	0.9007	0.9007	0.9353	0.9699	0.9699	0.0103	0.0103	0.01055	0.0108	0.0108	0.0293	0.0293	0.03115	0.033	0.033
TARA_R110000765	SAMEA4398168	ERS1309617	TARA_205	TARA_20131008T1824Z_205_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	491	482	500	0.22	TARA_205_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131008T1824Z_205_Combined-EVENTS_CAST_MES_(491m)_SEQ-(FeCl3)_W<0.22_R110000765	2.8329	P00DT01H49M	tara_20131008t1645z_205_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000764	SAMEA4398111	ERS1309560	TARA_205	TARA_20131008T1215Z_205_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_205_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20131008T1215Z_205_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000764	0.21939	P00DT04H19M	tara_20131008t1645z_205_event_cast	2	0.1331	0.1331	0.1347	0.1363	0.1363	0.2922	0.2922	0.30325	0.3143	0.3143	0.1063	0.1063	0.13305	0.1598	0.1598	0	0	0	0	0	0.0754	0.0754	0.08155	0.0877	0.0877	0	0	0	0	0	0.7649	0.7649	0.8194	0.8739	0.8739	0.0031	0.0031	0.00315	0.0032	0.0032	0.008	0.008	0.0082	0.0084	0.0084	0.0033	0.0033	0.0034	0.0035	0.0035	0.0041	0.0041	0.00455	0.005	0.005	0.0741	0.0741	0.08285	0.0916	0.0916	0	0	0	0	0	0.0093	0.0093	0.00965	0.01	0.01	0.0075	0.0075	0.008	0.0085	0.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204	0.0204	0.02155	0.0227	0.0227	0.0204	0.0204	0.02155	0.0227	0.0227	0	0	0	0	0	1.3453	1.3453	1.39205	1.4388	1.4388	1.4516	1.4516	1.5251	1.5986	1.5986	0.0224	0.0224	0.0234	0.0244	0.0244	0.0309	0.0309	0.03315	0.0354	0.0354
TARA_R110000744	SAMEA4398083	ERS1309532	TARA_201	TARA_20130930T2233Z_201_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	36	27	45	0.22	TARA_201_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130930T2233Z_201_Combined-EVENTS_CAST_DCM_(36m)_SEQ-(FeCl3)_W<0.22_R110000744	3.8689	P00DT03H02M	"tara_20130930t1932z_201_event_cast,tara_20130929t1637z_201_event_cast"	1	0.0535	0.0535	0.0535	0.0535	0.0535	0.1947	0.1947	0.1947	0.1947	0.1947	0.0344	0.0344	0.0344	0.0344	0.0344	0	0	0	0	0	0.0445	0.0445	0.0445	0.0445	0.0445	0	0	0	0	0	0.5729	0.5729	0.5729	0.5729	0.5729	0	0	0	0	0	0.0026	0.0026	0.0026	0.0026	0.0026	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	0	0	0.0464	0.0464	0.0464	0.0464	0.0464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1827	1.1827	1.1827	1.1827	1.1827	1.2172	1.2172	1.2172	1.2172	1.2172	0.0322	0.0322	0.0322	0.0322	0.0322	0.0266	0.0266	0.0266	0.0266	0.0266
TARA_R110000737	SAMEA4398027	ERS1309476	TARA_201	TARA_20130930T1502Z_201_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_201_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130930T1502Z_201_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000737	1.521	P00DT04H28M	"tara_20130930t1932z_201_event_cast,tara_20130929t1637z_201_event_cast"	3	0.0348	0.0368	0.0428	0.043325	0.0435	0.1161	0.136525	0.1978	0.2143	0.2198	0.0403	0.04195	0.0469	0.0793	0.0901	0	0	0	0	0	0.0365	0.045125	0.071	0.07265	0.0732	0.0071	0.007525	0.0088	0.0121	0.0132	0.2115	0.2547	0.3843	0.44025	0.4589	0.0034	0.0035	0.0038	0.00485	0.0052	0.0116	0.011925	0.0129	0.012975	0.013	0.0042	0.0043	0.0046	0.0064	0.007	0.0326	0.036825	0.0495	0.070725	0.0778	0.0477	0.05195	0.0647	0.071975	0.0744	0	0	0	0.006525	0.0087	0	0.002525	0.0101	0.0125	0.0133	0	0.0011	0.0044	0.004775	0.0049	0	0	0	0.001575	0.0021	0	0	0	0	0	0	0	0	0	0	0.0241	0.0252	0.0285	0.03375	0.0355	0.0241	0.0252	0.0285	0.03375	0.0355	0	0	0	0	0	0.6089	0.67895	0.8891	0.953675	0.9752	0.6493	0.720975	0.936	1.0329	1.0652	0.0056	0.00845	0.017	0.0173	0.0174	0.0189	0.020275	0.0244	0.029125	0.0307
