SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_R110000822	SAMEA4397666	ERS1309115	TARA_189	TARA_20130827T0153Z_189_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_189_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130827T0153Z_189_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000822	tara_20130827t0811z_189_event_cast	5.0443	P00DT06H16M	1	7.857	7.857	7.857	7.857	7.857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110000851	SAMEA4397627	ERS1309076	TARA_188	TARA_20130815T0754Z_188_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	17	15	19	0.22	TARA_188_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130815T0754Z_188_EVENT_PUMP_DCM_(17m)_SEQ-(FeCl3)_W<0.22_R110000851	tara_20130815t0037z_188_event_cast	12.6822	P00DT07H19M	0	NA	NA	NA	NA	NA	0.0141	0.06605	0.1738	0.22435	0.2664	0	0	0	0	0	0.2746	1.211	1.7308	1.911225	2.0575	0.0093	0.0109	0.0164	0.030825	0.0337	0.0325	0.036425	0.0508	0.0921	0.1026	0.0053	0.00595	0.0158	0.0301	0.034
TARA_R110000850	SAMEA4397586	ERS1309035	TARA_188	TARA_20130815T0030Z_188_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_188_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130815T0030Z_188_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000850	tara_20130815t0037z_188_event_cast	0.117	P00DT00H04M	1	7.952	7.952	7.952	7.952	7.952	0.1738	0.1861	0.2274	0.2523	0.2664	0	0	0	0	0	1.4239	1.5677	1.68195	1.9481	2.0575	0.0164	0.0222	0.0316	0.0337	0.0374	0.0508	0.0687	0.09535	0.1026	0.1158	0.0158	0.0199	0.03375	0.0344	0.0401
TARA_R110002126	SAMEA4397536	ERS1308985	TARA_180	TARA_20130718T0827Z_180_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	28	32	0.22	TARA_180_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130718T0827Z_180_EVENT_PUMP_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R110002126	tara_20130718t0210z_180_event_cast	3.3593	P00DT06H18M	0	NA	NA	NA	NA	NA	0.005	0.00655	0.0112	0.014275	0.0153	0	0	0	0	0	0.1321	0.254725	0.6226	0.80995	0.8724	0	0	0	0	0	0	0	0	0.00105	0.0014	6.00E-04	0.000825	0.0015	0.0021	0.0023
TARA_R110000868	SAMEA4397489	ERS1308938	TARA_180	TARA_20130718T0204Z_180_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_180_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130718T0204Z_180_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110000868	tara_20130718t0210z_180_event_cast	0.072718	P00DT00H04M	1	7.816	7.816	7.816	7.816	7.816	0.004867	0.004867	0.006183	0.0075	0.0075	0.003333	0.003333	0.003333	0.003333	0.003333	0.065667	0.065667	0.085767	0.105867	0.105867	0.004833	0.004833	0.005267	0.0057	0.0057	0.012633	0.012633	0.013367	0.0141	0.0141	0.008967	0.008967	0.009333	0.0097	0.0097
TARA_R110002124	SAMEA4397445	ERS1308894	TARA_178	TARA_20130715T0211Z_178_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_178_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130715T0211Z_178_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002124	tara_20130715t0215z_178_event_cast	0.23937	P00DT00H02M	1	7.996	7.996	7.996	7.996	7.996	0	0	0	0	0	0.0017	0.0017	0.00305	0.0044	0.0044	0.008	0.008	0.023975	0.03995	0.03995	0.0031	0.0031	0.0034	0.0037	0.0037	0.00705	0.00705	0.00785	0.00865	0.00865	0.00365	0.00365	0.004275	0.0049	0.0049
TARA_R110002094	SAMEA4397409	ERS1308858	TARA_175	TARA_20130711T0613Z_175_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	10-100	10	100	0.22	TARA_175_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130711T0613Z_175_Combined-EVENTS_CAST_MIX_(10-100m)_SEQ-(FeCl3)_W<0.22_R110002094	tara_20130710t0408z_175_event_cast	12.3831	P01DT02H05M	0	NA	NA	NA	NA	NA	0	0.001	0.0043	0.008125	0.0087	0.011	0.01185	0.0125	0.0147	0.0169	0.0309	0.036	0.0912	0.177425	0.222	0.0023	0.003025	0.0055	0.01015	0.0121	0.0081	0.00895	0.0146	0.02675	0.0338	0.0017	0.001975	0.0049	0.00885	0.0165
TARA_R110002111	SAMEA4397363	ERS1308812	TARA_175	TARA_20130710T1100Z_175_Combined-EVENTS_CAST	[ZZZ] marine water layer (ENVO:01000295)	199	190	208	0.22	TARA_175_ZZZ_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130710T1100Z_175_Combined-EVENTS_CAST_ZZZ_(199m)_SEQ-(FeCl3)_W<0.22_R110002111	tara_20130710t0408z_175_event_cast	3.7212	P00DT06H52M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002110	SAMEA4397330	ERS1308779	TARA_175	TARA_20130710T0358Z_175_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_175_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130710T0358Z_175_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002110	tara_20130710t0408z_175_event_cast	0.061741	P00DT00H09M	1	7.983	7.983	7.983	7.983	7.983	0.0043	0.0043	0.0054	0.0065	0.0065	0.012	0.012	0.01385	0.0157	0.0157	0.2101	0.2101	0.21605	0.222	0.222	0.0112	0.0112	0.01165	0.0121	0.0121	0.0302	0.0302	0.03025	0.0303	0.0303	0.016	0.016	0.01625	0.0165	0.0165
TARA_R110002096	SAMEA4397295	ERS1308744	TARA_173	TARA_20130708T1100Z_173_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	35	33	37	0.22	TARA_173_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130708T1100Z_173_EVENT_PUMP_DCM_(35m)_SEQ-(FeCl3)_W<0.22_R110002096	tara_20130708t0502z_173_event_cast	7.0813	P00DT05H59M	0	NA	NA	NA	NA	NA	0.0542	0.0542	0.0542	0.0542	0.0542	0	0	0	0	0	1.3839	1.3839	1.3839	1.3839	1.3839	0.0037	0.0037	0.0037	0.0037	0.0037	0	0	0	0	0	0.0072	0.0072	0.0072	0.0072	0.0072
TARA_R110002095	SAMEA4397255	ERS1308704	TARA_173	TARA_20130708T0412Z_173_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_173_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130708T0412Z_173_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002095	tara_20130708t0502z_173_event_cast	0.93053	P00DT00H48M	1	8.051	8.051	8.051	8.051	8.051	0.0056	0.0056	0.0218	0.038	0.038	0	0	0.00095	0.0019	0.0019	0.043	0.043	0.43265	0.8223	0.8223	0.0027	0.0027	0.00325	0.0038	0.0038	0	0	0	0	0	0.0038	0.0038	0.005	0.0062	0.0062
TARA_R110002074	SAMEA4397215	ERS1308664	TARA_168	TARA_20130702T0424Z_168_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	10-100	10	100	0.22	TARA_168_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130702T0424Z_168_Combined-EVENTS_CAST_MIX_(10-100m)_SEQ-(FeCl3)_W<0.22_R110002074	tara_20130701t0332z_168_event_cast	0.9161	P01DT00H53M	0	NA	NA	NA	NA	NA	0	0	0.00745	0.01095	0.0389	0	0	0	0.01465	0.0335	0.0018	0.0037	0.11945	0.3	0.8575	0	0	0.00035	0.0058	0.0141	0	0	0	0	0	0	0	0.0044	0.0068	0.0087
TARA_R110002073	SAMEA4397174	ERS1308623	TARA_168	TARA_20130701T1234Z_168_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	TARA_168_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130701T1234Z_168_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R110002073	tara_20130701t0332z_168_event_cast	3.546	P00DT09H03M	0	NA	NA	NA	NA	NA	0	0.002575	0.0103	0.03175	0.0389	0	0	0	0.025125	0.0335	0.0418	0.080625	0.1971	0.6924	0.8575	0	0.00235	0.0094	0.012925	0.0141	0	0	0	0	0	0.0034	0.0039	0.0054	0.006375	0.0067
TARA_R110002072	SAMEA4397118	ERS1308567	TARA_168	TARA_20130701T0320Z_168_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_168_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130701T0320Z_168_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002072	tara_20130701t0332z_168_event_cast	0.27272	P00DT00H10M	1	8.016	8.016	8.016	8.016	8.016	0	0	0	0	0	0.0159	0.0159	0.01695	0.018	0.018	0.2125	0.2125	0.217	0.2215	0.2215	0.0022	0.0022	0.00275	0.0033	0.0033	0	0	0	0	0	0.0087	0.0087	0.0099	0.0111	0.0111
TARA_R110002060	SAMEA4397091	ERS1308540	TARA_163	TARA_20130610T0838Z_163_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	499	490	508	0.22	TARA_163_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130610T0838Z_163_Combined-EVENTS_CAST_MES_(499m)_SEQ-(FeCl3)_W<0.22_R110002060	tara_20130609t0658z_163_event_cast	6.3793	P01DT01H43M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002033	SAMEA4397051	ERS1308500	TARA_163	TARA_20130609T0739Z_163_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_163_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130609T0739Z_163_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002033	tara_20130609t0658z_163_event_cast	2.2019	P00DT00H44M	1	8.006	8.006	8.006	8.006	8.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002051	SAMEA4397023	ERS1308472	TARA_158	TARA_20130604T0905Z_158_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	651	642	660	0.22	TARA_158_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130604T0905Z_158_Combined-EVENTS_CAST_MES_(651m)_SEQ-(FeCl3)_W<0.22_R110002051	tara_20130603t0744z_158_event_cast	3.713	P01DT01H20M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002050	SAMEA4396988	ERS1308437	TARA_158	TARA_20130603T1527Z_158_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	0.22	TARA_158_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130603T1527Z_158_EVENT_PUMP_DCM_(25m)_SEQ-(FeCl3)_W<0.22_R110002050	tara_20130603t0744z_158_event_cast	6.828	P00DT07H42M	0	NA	NA	NA	NA	NA	0	0	0	0	0	0.0165	0.0165	0.0165	0.0165	0.0165	0.0482	0.0482	0.0482	0.0482	0.0482	0.0021	0.0021	0.0021	0.0021	0.0021	0.009	0.009	0.009	0.009	0.009	0.0021	0.0021	0.0021	0.0021	0.0021
TARA_R110002049	SAMEA4396941	ERS1308390	TARA_158	TARA_20130603T0731Z_158_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_158_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130603T0731Z_158_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002049	tara_20130603t0744z_158_event_cast	0.82457	P00DT00H13M	1	7.852	7.852	7.852	7.852	7.852	0	0	0.00185	0.0037	0.0037	0.0226	0.0226	0.02345	0.0243	0.0243	0.1563	0.1563	0.1674	0.1785	0.1785	0	0	0	0	0	0.011	0.011	0.01245	0.0139	0.0139	0	0	0	0	0
TARA_R110002012	SAMEA4396515	ERS1307964	TARA_155	TARA_20130525T0907Z_155_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	TARA_155_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130525T0907Z_155_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R110002012	tara_20130524t0542z_155_event_cast	8.6448	P01DT03H30M	0	NA	NA	NA	NA	NA	0.0121	0.0121	0.0121	0.0121	0.0121	0.0044	0.0044	0.0044	0.0044	0.0044	0.0298	0.0298	0.0298	0.0298	0.0298	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0	0	0	0	0
TARA_R110002020	SAMEA4396489	ERS1307938	TARA_155	TARA_20130524T1315Z_155_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	751	742	760	0.22	TARA_155_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130524T1315Z_155_Combined-EVENTS_CAST_MES_(751m)_SEQ-(FeCl3)_W<0.22_R110002020	tara_20130524t0542z_155_event_cast	7.6865	P00DT07H38M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R110002003	SAMEA4396441	ERS1307890	TARA_155	TARA_20130524T0536Z_155_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	TARA_155_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20130524T0536Z_155_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R110002003	tara_20130524t0542z_155_event_cast	0.77867	P00DT00H00M	1	7.948	7.948	7.948	7.948	7.948	0.0164	0.0164	0.02345	0.0305	0.0305	0.0098	0.0098	0.01065	0.0115	0.0115	0.0743	0.0743	0.1019	0.1295	0.1295	0.005	0.005	0.00735	0.0097	0.0097	0.0117	0.0117	0.01875	0.0258	0.0258	0.0046	0.0046	0.00685	0.0091	0.0091